Country Code,Country,Year,Agriculture_fossil_co2,Buildings_fossil_co2,Dom_Avi_fossil_co2,Dom_Ship_fossil_co2,Energy_fossil_co2,Industry_fossil_co2,Transport_fossil_co2,Waste_fossil_co2,Agriculture_ch4_ar5,Buildings_ch4_ar5,Dom_Avi_ch4_ar5,Dom_Ship_ch4_ar5,Energy_ch4_ar5,Industry_ch4_ar5,Transport_ch4_ar5,Waste_ch4_ar5,Agriculture_n2o_ar5,Buildings_n2o_ar5,Dom_Avi_n2o_ar5,Dom_Ship_n2o_ar5,Energy_n2o_ar5,Indirect_n2o_ar5,Industry_n2o_ar5,Transport_n2o_ar5,Waste_n2o_ar5,Industry_f_gases_ar5,Agriculture_GWP_100_AR5_GHG,Buildings_GWP_100_AR5_GHG,Dom_Avi_GWP_100_AR5_GHG,Dom_Ship_GWP_100_AR5_GHG,Energy_GWP_100_AR5_GHG,Indirect_GWP_100_AR5_GHG,Industry_GWP_100_AR5_GHG,Transport_GWP_100_AR5_GHG,Waste_GWP_100_AR5_GHG,total_GWP_100_AR5_GHG,GDP,GDP_Per_Capita,Labour_Force,Population
GEO,Georgia,2016,57.67142826,2058.020978,3.0743856,3.15671187,1059.338015,3557.25365,4285.083572,0.0,2354.167384,141.5646466,0.000601978,0.008349737,0.846678803,129.9663093,24.26412828,1510.748223,599.3534148,23.36487008,0.022789152,0.022578371,0.646042607,61.61352826,719.4151331,61.61535609,51.67062588,289.9566881,3011.192227,2222.950495,3.09777673,3.187639978,1060.830736,61.61352826,4696.591781,4370.963056,1562.418849,16992.84609,15444548902.0,4143.401257,2044462.0,3727505
GEO,Georgia,2017,64.84761876,2277.42137,3.0743856,5.99759472,1094.440096,3862.324524,3860.913097,0.0,2283.87213,134.1446395,0.000601978,0.015864083,0.865441977,128.7697519,20.92361277,1532.235449,587.5540493,21.88287383,0.022789152,0.042897776,0.721979788,58.64365114,719.7988069,51.20260298,51.49489828,320.3701368,2936.273798,2433.448883,3.09777673,6.056356579,1096.027518,58.64365114,5031.26322,3933.039313,1583.730347,17081.58086,16473125375.0,4418.752065,1969254.0,3728004
GEO,Georgia,2018,71.86666524,2213.286574,0.92231425,1.73611113,1010.87307,4078.939739,3756.9128,0.0,2172.967178,101.1737489,0.000180593,0.004592143,0.811864939,134.8689119,20.35829047,1557.065049,601.6676028,17.1865985,0.006836735,0.012417529,0.593471176,56.09692419,720.19936,51.12329873,52.73700629,338.4942474,2846.501446,2331.646921,0.929331578,1.753120802,1012.278406,56.09692419,5272.502258,3828.394389,1609.802056,16959.90485,17902544881.0,4804.054604,1893021.0,3726549
GEO,Georgia,2019,72.49523667,2491.300414,1.84463565,1.26268623,1345.722015,4108.643293,3898.571444,0.0,2100.16876,93.2503281,0.000361187,0.003339899,1.107099834,128.6185328,20.12381773,1572.922964,595.0913446,16.09762819,0.013673523,0.009031359,0.63567974,58.13300345,719.340447,50.66951642,53.48110466,360.8446718,2767.755341,2600.648371,1.85867036,1.275057488,1347.464794,58.13300345,5317.446944,3969.364778,1626.404068,17690.35103,17638337117.0,4741.283272,1854016.0,3720161
GEO,Georgia,2020,102.980951,2647.655338,0.3227081,0.67880787,1221.625084,3801.339785,3771.6586,0.0,2090.077245,86.67404962,6.32e-05,0.001795497,1.163834596,129.1692298,18.56752867,1585.990854,644.8932193,13.75044043,0.002392102,0.004855171,0.577059977,53.70477038,692.7384683,44.30987034,53.85980562,384.4741337,2837.951415,2748.079828,0.32516339,0.685458538,1223.365979,53.70477038,5007.721617,3834.535999,1639.85066,17346.22089,16010869216.0,4300.857013,1864522.0,3722716
GEO,Georgia,2021,84.1238081,3008.578274,1.85391635,0.7290699,984.7540652,3904.18414,4162.989726,0.0,2208.191318,90.04962403,0.000363005,0.001928444,0.938169054,132.7540082,19.68153769,1599.621178,640.4925139,14.44667128,0.013742317,0.00521467,0.465169033,55.79075778,760.4942978,46.15011407,54.10451992,405.8423138,2932.80764,3113.074569,1.868021672,0.736213014,986.1574033,55.79075778,5203.27476,4228.821378,1653.725698,18176.25644,18853115589.0,5083.606955,1774721.0,3708610
GEO,Georgia,2022,85.34952216,3231.895842,2.789611844,0.806603484,1058.448835,3909.407774,4345.243241,0.0,2205.872808,95.37251428,0.000546218,0.002133526,1.008377602,134.7475092,20.5406264,1618.351421,649.8879627,15.24296737,0.020678242,0.005769229,0.499980287,57.96275032,760.4031013,48.15072146,54.59129873,428.291996,2941.110293,3342.511323,2.810836304,0.814506239,1059.957193,57.96275032,5232.85038,4413.934589,1672.94272,18724.89459,24984568960.0,6729.846599,1843861.0,3712502
GEO,Georgia,2023,86.76644762,3369.342572,3.192897588,0.736337393,1103.924759,3866.776767,4432.855319,0.0,2209.093632,95.59970757,0.000625183,0.001947667,1.051702231,135.8528933,20.95276363,1636.188753,665.4068129,15.24173021,0.023667632,0.005266651,0.521461785,58.5632229,792.0917034,49.10593553,55.08245709,450.7744375,2961.266893,3480.18401,3.217190403,0.743551711,1105.497923,58.5632229,5245.495801,4502.914019,1691.27121,19049.15382,30777833585.0,8283.669602,1850617.0,3715483
GRC,Greece,1990,621.65714084,8067.5366742999995,0.0,0.0,34971.90913801,19178.426807199998,11823.6444071,0.139425001,4989.21095901,264.54455076,0.0,0.0,12.048295123,3329.75843874,118.33060815600001,3993.8059353199997,3865.29647449,307.33284027,0.0,0.0,115.784107992,426.76473872,1107.242638042,140.015204717,190.800606789,2264.47083531,9476.1645741,8639.4140663,0.0,0.0,35099.74154532,426.76473872,25879.898717930002,12081.9902185,4184.74596733,95788.7198301,96529587274.0,9466.662385,4136433.0,10196792
GRC,Greece,1991,607.51428357,8362.0921652,0.0,0.0,34164.37069578,18917.57022495,12615.7055321,0.139425001,4910.32662046,268.162124431,0.0,0.0,12.03630403,3278.92318418,119.577558014,4084.24710995,3841.66946549,329.46019142,0.0,0.0,111.85530352199999,433.1994732,942.103953817,146.454948572,192.41248498299998,2221.8012848099997,9359.51036851,8959.7144808,0.0,0.0,34288.26230013,433.1994732,25360.398649299997,12881.738040100001,4276.79901926,95559.6223333,103681000000.0,10046.66639,4080843.0,10319927
